code,name,category,institution,page
ZU-M-BAS,B Com Accounting Science,"1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,49
KN-P-BCN,B Com in Accounting,"1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,49
ZU-M-BCN,B Com in Accounting,"1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,49
KN-W-B5F,"Bachelor of Business Science
in Finance","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,50
KN-W-B5I,"Bachelor of Business Science in
Investment Science","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,50
KN-P-BCO,"Bachelor of Commerce
in Accounting (Extended
Curriculum)","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,50
ZU-A-AAA,"B Com Augmented (Accounting
and Auditing)","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,50
ZU-A-AB2,"B Com Augmented (Banking
and Business Management)","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,50
ZU-A-ABU,"B Com Augmented (Business
Management and Accounting)","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,50
ZU-A-ABE,"B Com Augmented (Business
Management and Economics)","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,50
ZU-A-ABK,"B Com Augmented (Economics
and Banking)","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,50
ZU-A-AHU,"B Com Augmented (Economics and
Human Resources Management)","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,51
ZU-A-AHB,"B Com Augmented (Human
Resources Management and
Business Management)","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,51
ZU-A-AMI,"B Com Augmented
(Management Info Systems)","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,51
ZU-A-AES,"B Com Augmented (Accounting
& Economics)","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,51
DU-D-DAT,Diploma in Accounting,"1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,51
MN-M-DAT,Diploma in Accounting,"1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,51
DU-D-DA4,"Diploma in Accounting (4 Year
Foundation Programme)","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,52
MN-M-DA5,Diploma in Accounting (ECP),"1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,52
MN-M-DMN,"Diploma in Cost & Management
Accounting","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,52
DU-D-DIA,Diploma in Internal Auditing,"1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,53
DU-D-DI4,"Diploma in Internal Auditing
(4 Year Foundation Programme)","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,53
MN-M-DGF,"Diploma in Local Government
Finance","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,53
DU-D-MAC,"Diploma in Management
Accounting","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,54
MN-M-DFP,"Diploma in Public Finance &
Accounting","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,54
MN-M-DFY,"Diploma in Public Finance &
Accounting (ECP)","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,56
DU-D-DTA,Diploma in Taxation,"1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,56
DU-D-DT6,"Diploma in Taxation
(4 Year Foundation Programme)","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,56
MN-M-ADG,"Advanced Diploma in
Accounting","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,56
MN-M-AMA,"Advanced Diploma in Cost and
Management Accounting","1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,56
ZU-R-AC2,H Cert Accountancy,"1. ACCOUNTING, FINANCIAL MANAGEMENT",UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,57
MC-D-BCF,B Com Financial Management,"1. ACCOUNTING, FINANCIAL MANAGEMENT",PRIVATE COLLEGES,57
MC-D-BCN,B Com in Accounting,"1. ACCOUNTING, FINANCIAL MANAGEMENT",PRIVATE COLLEGES,57
BC-D-BIA,"Bachelor of Commerce in
Accounting","1. ACCOUNTING, FINANCIAL MANAGEMENT",PRIVATE COLLEGES,58
RB-D-BCN,B Com in Accounting,"1. ACCOUNTING, FINANCIAL MANAGEMENT",PRIVATE COLLEGES,58
PE-B-BIA,"Bachelor of Commerce in
Accounting","1. ACCOUNTING, FINANCIAL MANAGEMENT",PRIVATE COLLEGES,58
PE-B-BDI,"Bachelor of Commerce in
Accounting (Distance Mode)","1. ACCOUNTING, FINANCIAL MANAGEMENT",PRIVATE COLLEGES,59
EM-B-BIA,"Bachelor of Commerce in
Accounting","1. ACCOUNTING, FINANCIAL MANAGEMENT",PRIVATE COLLEGES,59
